Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-A5000 Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.1.1; ME172V Build/JRO03H)
Dalvik/1.6.0 (Linux; U; Android 4.1.1; Lenovo S720i Build/JRO03C)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; VS980 4G Build/KOT49I.VS98024A)
Dalvik/2.1.0 (Linux; U; Android 5.0.1; GT-I9500 Build/LRX22C)
Dalvik/2.1.0 (Linux; U; Android 5.0.1; GT-I9500 Build/LRX22C)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; M706 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; M706 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.1.1; MI 2S MIUI/JLB52.0)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Lenovo A889 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; vivo Y11 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; VS980 4G Build/KOT49I.VS98024A)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Lenovo A889 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; Bird L8 Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Lenovo A889 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; Coolpad Y75 Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; VOYAGER DG300 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; VOYAGER DG300 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Lenovo A680 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-G720AX Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-G720AX Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; NUMY3G AX10T Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; NUMY3G AX10T Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.1.1; HUAWEI G510-0251 Build/HuaweiG510-0251)
Dalvik/2.1.0 (Linux; U; Android 5.0.2; LG-D802 Build/LRX22G)
Dalvik/2.1.0 (Linux; U; Android 5.0.2; LG-D802 Build/LRX22G)
Dalvik/2.1.0 (Linux; U; Android 5.0.2; LG-D802 Build/LRX22G)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; CUBOT ONE Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; H7 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; H7 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; LG-D802 Build/KOT49I.D80220d)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Flylife Connect 7 3G 2 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; YUSUN T55 Build/YUSUNYUSUN_T55)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Flylife Connect 7 3G 2 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.3; GT-I9507V Build/JSS15J)
